timestamp_iso,crisis_pressure,crisis_band,escalation_forecast,forecast_band
2026-07-19T14:06:03.872Z,91,extreme,57,elevated
2026-07-19T14:11:13.851Z,91,extreme,57,elevated
2026-07-19T14:16:05.269Z,91,extreme,57,elevated
2026-07-19T14:21:09.881Z,91,extreme,57,elevated
2026-07-19T14:26:07.554Z,91,extreme,57,elevated
2026-07-19T14:31:05.424Z,91,extreme,57,elevated
2026-07-19T14:36:07.351Z,91,extreme,57,elevated
2026-07-19T14:41:04.875Z,91,extreme,57,elevated
2026-07-19T14:46:14.401Z,91,extreme,57,elevated
2026-07-19T14:51:06.212Z,91,extreme,57,elevated
2026-07-19T14:56:08.285Z,91,extreme,57,elevated
2026-07-19T15:01:05.127Z,91,extreme,57,elevated
2026-07-19T15:06:06.919Z,91,extreme,57,elevated
2026-07-19T15:11:05.139Z,91,extreme,57,elevated
2026-07-19T15:16:04.758Z,91,extreme,57,elevated
2026-07-19T15:21:03.791Z,91,extreme,57,elevated
2026-07-19T15:26:08.231Z,91,extreme,57,elevated
2026-07-19T15:31:10.280Z,91,extreme,57,elevated
2026-07-19T15:36:18.006Z,91,extreme,57,elevated
2026-07-19T15:41:05.788Z,91,extreme,57,elevated
2026-07-19T15:46:04.709Z,91,extreme,57,elevated
2026-07-19T15:51:14.474Z,91,extreme,58,elevated
2026-07-19T15:56:06.893Z,91,extreme,58,elevated
2026-07-19T16:01:04.714Z,91,extreme,58,elevated
2026-07-19T16:06:13.691Z,91,extreme,58,elevated
2026-07-19T16:11:06.544Z,91,extreme,58,elevated
2026-07-19T16:16:05.096Z,91,extreme,58,elevated
2026-07-19T16:21:15.689Z,91,extreme,58,elevated
2026-07-19T16:26:09.527Z,91,extreme,58,elevated
2026-07-19T16:31:05.595Z,91,extreme,58,elevated
2026-07-19T16:36:11.060Z,91,extreme,58,elevated
2026-07-19T16:41:05.343Z,91,extreme,58,elevated
2026-07-19T16:46:04.489Z,91,extreme,58,elevated
2026-07-19T16:51:07.603Z,91,extreme,58,elevated
2026-07-19T16:56:11.673Z,91,extreme,58,elevated
2026-07-19T17:01:05.113Z,91,extreme,58,elevated
2026-07-19T17:06:05.054Z,91,extreme,58,elevated
2026-07-19T17:11:12.664Z,91,extreme,58,elevated
2026-07-19T17:16:04.990Z,91,extreme,58,elevated
2026-07-19T17:21:04.900Z,91,extreme,58,elevated
2026-07-19T17:26:10.530Z,91,extreme,58,elevated
2026-07-19T17:31:04.240Z,91,extreme,58,elevated
2026-07-19T17:36:12.063Z,91,extreme,58,elevated
2026-07-19T17:41:09.701Z,91,extreme,58,elevated
2026-07-19T17:46:12.742Z,91,extreme,58,elevated
2026-07-19T17:51:10.102Z,91,extreme,58,elevated
2026-07-19T17:56:04.139Z,91,extreme,58,elevated
2026-07-19T18:01:04.108Z,91,extreme,58,elevated
2026-07-19T18:06:07.951Z,91,extreme,58,elevated
2026-07-19T18:11:04.436Z,91,extreme,58,elevated
2026-07-19T18:16:05.567Z,91,extreme,58,elevated
2026-07-19T18:21:09.280Z,91,extreme,58,elevated
2026-07-19T18:26:05.887Z,91,extreme,58,elevated
2026-07-19T18:31:03.104Z,91,extreme,58,elevated
2026-07-19T18:36:16.399Z,91,extreme,58,elevated
2026-07-19T18:41:08.790Z,91,extreme,58,elevated
2026-07-19T18:46:09.739Z,91,extreme,58,elevated
2026-07-19T18:51:06.339Z,91,extreme,58,elevated
2026-07-19T18:56:07.073Z,91,extreme,58,elevated
2026-07-19T19:01:08.494Z,91,extreme,58,elevated
2026-07-19T19:06:08.105Z,91,extreme,58,elevated
2026-07-19T19:11:06.475Z,91,extreme,58,elevated
2026-07-19T19:16:04.899Z,91,extreme,58,elevated
2026-07-19T19:21:06.337Z,91,extreme,58,elevated
2026-07-19T19:26:11.651Z,91,extreme,58,elevated
2026-07-19T19:31:04.257Z,91,extreme,58,elevated
2026-07-19T19:36:07.183Z,91,extreme,58,elevated
2026-07-19T19:41:03.677Z,91,extreme,58,elevated
2026-07-19T19:46:10.348Z,91,extreme,58,elevated
2026-07-19T19:51:09.440Z,91,extreme,58,elevated
2026-07-19T19:56:17.532Z,91,extreme,58,elevated
2026-07-19T20:01:10.740Z,91,extreme,58,elevated
2026-07-19T20:06:09.778Z,91,extreme,58,elevated
2026-07-19T20:11:10.132Z,91,extreme,58,elevated
2026-07-19T20:16:07.161Z,91,extreme,58,elevated
2026-07-19T20:21:07.332Z,91,extreme,58,elevated
2026-07-19T20:26:05.684Z,91,extreme,58,elevated
2026-07-19T20:31:04.441Z,91,extreme,58,elevated
2026-07-19T20:36:10.336Z,91,extreme,58,elevated
2026-07-19T20:41:04.359Z,91,extreme,58,elevated
2026-07-19T20:46:12.264Z,91,extreme,58,elevated
2026-07-19T20:51:04.420Z,91,extreme,58,elevated
2026-07-19T20:56:08.077Z,91,extreme,58,elevated
2026-07-19T21:01:05.555Z,91,extreme,58,elevated
2026-07-19T21:06:06.033Z,91,extreme,58,elevated
2026-07-19T21:11:08.494Z,91,extreme,58,elevated
2026-07-19T21:16:05.064Z,91,extreme,58,elevated
2026-07-19T21:21:07.059Z,91,extreme,58,elevated
2026-07-19T21:26:13.047Z,91,extreme,58,elevated
2026-07-19T21:31:08.612Z,91,extreme,58,elevated
2026-07-19T21:36:07.869Z,91,extreme,58,elevated
2026-07-19T21:41:08.985Z,91,extreme,58,elevated
2026-07-19T21:46:05.009Z,91,extreme,58,elevated
2026-07-19T21:51:08.586Z,91,extreme,58,elevated
2026-07-19T21:56:06.835Z,91,extreme,58,elevated
2026-07-19T22:01:03.846Z,91,extreme,58,elevated
2026-07-19T22:06:07.761Z,91,extreme,58,elevated
2026-07-19T22:11:19.594Z,91,extreme,58,elevated
2026-07-19T22:16:06.231Z,91,extreme,58,elevated
2026-07-19T22:21:06.863Z,91,extreme,58,elevated
2026-07-19T22:26:06.533Z,91,extreme,58,elevated
2026-07-19T22:31:06.660Z,91,extreme,58,elevated
2026-07-19T22:36:04.289Z,91,extreme,58,elevated
2026-07-19T22:41:08.941Z,91,extreme,58,elevated
2026-07-19T22:46:06.924Z,91,extreme,58,elevated
2026-07-19T22:51:03.910Z,91,extreme,58,elevated
2026-07-19T22:56:06.423Z,91,extreme,59,elevated
2026-07-19T23:01:08.702Z,91,extreme,59,elevated
2026-07-19T23:06:04.470Z,91,extreme,59,elevated
2026-07-19T23:11:13.230Z,91,extreme,59,elevated
2026-07-19T23:16:11.050Z,91,extreme,59,elevated
2026-07-19T23:21:10.866Z,91,extreme,59,elevated
2026-07-19T23:26:06.197Z,91,extreme,59,elevated
2026-07-19T23:31:03.612Z,91,extreme,59,elevated
2026-07-19T23:36:14.491Z,91,extreme,59,elevated
2026-07-19T23:41:08.726Z,91,extreme,59,elevated
2026-07-19T23:46:11.717Z,91,extreme,59,elevated
2026-07-19T23:51:04.897Z,91,extreme,59,elevated
2026-07-19T23:56:08.487Z,91,extreme,59,elevated
2026-07-20T00:01:07.196Z,91,extreme,59,elevated
2026-07-20T00:06:12.620Z,91,extreme,59,elevated
2026-07-20T00:11:11.872Z,91,extreme,59,elevated
2026-07-20T00:16:07.120Z,91,extreme,59,elevated
2026-07-20T00:21:05.411Z,91,extreme,59,elevated
2026-07-20T00:26:04.558Z,91,extreme,59,elevated
2026-07-20T00:31:04.568Z,91,extreme,59,elevated
2026-07-20T00:36:13.667Z,91,extreme,59,elevated
2026-07-20T00:41:05.062Z,91,extreme,59,elevated
2026-07-20T00:46:03.685Z,91,extreme,59,elevated
2026-07-20T00:51:04.629Z,91,extreme,59,elevated
2026-07-20T00:56:08.342Z,91,extreme,59,elevated
2026-07-20T01:01:03.631Z,91,extreme,59,elevated
2026-07-20T01:06:04.164Z,91,extreme,59,elevated
2026-07-20T01:11:04.389Z,91,extreme,59,elevated
2026-07-20T01:16:12.684Z,91,extreme,59,elevated
2026-07-20T01:21:14.439Z,91,extreme,59,elevated
2026-07-20T01:26:11.620Z,91,extreme,59,elevated
2026-07-20T01:31:03.712Z,91,extreme,59,elevated
2026-07-20T01:36:07.186Z,91,extreme,59,elevated
2026-07-20T01:41:02.960Z,91,extreme,59,elevated
2026-07-20T01:46:06.713Z,91,extreme,59,elevated
2026-07-20T01:51:05.934Z,91,extreme,59,elevated
2026-07-20T01:56:11.065Z,91,extreme,59,elevated
2026-07-20T02:01:04.070Z,91,extreme,59,elevated
2026-07-20T02:06:05.053Z,91,extreme,59,elevated
2026-07-20T02:11:04.431Z,91,extreme,59,elevated
2026-07-20T02:16:09.117Z,91,extreme,59,elevated
2026-07-20T02:21:10.570Z,91,extreme,59,elevated
2026-07-20T02:26:07.182Z,91,extreme,59,elevated
2026-07-20T02:31:12.346Z,91,extreme,59,elevated
2026-07-20T02:36:12.692Z,91,extreme,59,elevated
2026-07-20T02:41:03.907Z,91,extreme,59,elevated
2026-07-20T02:46:10.383Z,91,extreme,59,elevated
2026-07-20T02:51:04.696Z,91,extreme,59,elevated
2026-07-20T02:56:10.271Z,91,extreme,59,elevated
2026-07-20T03:01:05.266Z,91,extreme,59,elevated
2026-07-20T03:06:11.261Z,91,extreme,59,elevated
2026-07-20T03:11:04.162Z,91,extreme,59,elevated
2026-07-20T03:16:08.478Z,91,extreme,59,elevated
2026-07-20T03:21:04.778Z,91,extreme,59,elevated
2026-07-20T03:26:10.647Z,91,extreme,59,elevated
2026-07-20T03:31:06.678Z,91,extreme,59,elevated
2026-07-20T03:36:13.222Z,91,extreme,59,elevated
2026-07-20T03:41:09.744Z,91,extreme,59,elevated
2026-07-20T03:46:03.969Z,91,extreme,59,elevated
2026-07-20T03:51:05.215Z,91,extreme,59,elevated
2026-07-20T03:56:04.072Z,91,extreme,59,elevated
2026-07-20T04:01:04.370Z,91,extreme,59,elevated
2026-07-20T04:06:07.909Z,91,extreme,59,elevated
2026-07-20T04:11:07.858Z,91,extreme,59,elevated
2026-07-20T04:16:06.869Z,91,extreme,59,elevated
2026-07-20T04:21:04.899Z,91,extreme,59,elevated
2026-07-20T04:26:08.192Z,91,extreme,59,elevated
2026-07-20T04:31:05.161Z,91,extreme,59,elevated
2026-07-20T04:36:04.851Z,91,extreme,59,elevated
2026-07-20T04:41:10.183Z,91,extreme,59,elevated
2026-07-20T04:46:06.753Z,91,extreme,59,elevated
2026-07-20T04:51:06.670Z,91,extreme,59,elevated
2026-07-20T04:56:07.810Z,91,extreme,59,elevated
2026-07-20T05:01:03.661Z,91,extreme,59,elevated
2026-07-20T05:06:09.331Z,91,extreme,59,elevated
2026-07-20T05:11:06.523Z,91,extreme,59,elevated
2026-07-20T05:16:08.235Z,91,extreme,59,elevated
2026-07-20T05:21:04.839Z,91,extreme,59,elevated
2026-07-20T05:26:11.772Z,91,extreme,59,elevated
2026-07-20T05:31:08.436Z,91,extreme,59,elevated
2026-07-20T05:36:10.396Z,91,extreme,59,elevated
2026-07-20T05:41:05.111Z,91,extreme,59,elevated
2026-07-20T05:46:06.181Z,91,extreme,59,elevated
2026-07-20T05:51:07.252Z,91,extreme,59,elevated
2026-07-20T05:56:04.679Z,91,extreme,59,elevated
2026-07-20T06:01:04.948Z,91,extreme,59,elevated
2026-07-20T06:06:10.323Z,91,extreme,59,elevated
2026-07-20T06:11:08.471Z,91,extreme,59,elevated
2026-07-20T06:16:03.932Z,91,extreme,59,elevated
2026-07-20T06:21:13.512Z,91,extreme,59,elevated
2026-07-20T06:26:11.555Z,91,extreme,59,elevated
2026-07-20T06:31:04.979Z,91,extreme,59,elevated
2026-07-20T06:36:05.172Z,91,extreme,59,elevated
2026-07-20T06:41:04.270Z,91,extreme,59,elevated
2026-07-20T06:46:05.657Z,91,extreme,59,elevated
2026-07-20T06:51:10.247Z,91,extreme,59,elevated
2026-07-20T06:56:03.756Z,91,extreme,59,elevated
2026-07-20T07:01:08.944Z,91,extreme,59,elevated
2026-07-20T07:06:08.189Z,91,extreme,59,elevated
2026-07-20T07:11:12.233Z,91,extreme,59,elevated
2026-07-20T07:16:03.803Z,91,extreme,59,elevated
2026-07-20T07:21:10.039Z,91,extreme,59,elevated
2026-07-20T07:26:11.166Z,91,extreme,59,elevated
